Zen2 measurement skipped.
   |-- Port01 FP (2 read op) --|--LATENCY--IIDOMAIN--FFDOMAIN--IFDOMAIN--FIDOMAIN-----GPR-------PORT0----PORT1-----PORT01----PORT03-----PORT2----PORT12----PORT23--PORT0123----PORT45------LDs-
443|VPEXTRW gpr64<-x           |   700114,   904724,  1104561,  1100047,  1100084,  1605541,   800162,   800310,   996595,   810152,  1184518,  1200095,  1002293,  1000221,  1600065,   818847,
444|VPEXTRD gpr32<-x           |   700077,   905427,  1100047,  1104450,  1100047,  1600102,   800125,   800310,  1001849,   800125,  1184555,  1200132,   996595,  1000554,  1604320,   800828,
445|VPEXTRQ gpr64<-x           |   700114,   904909,  1100047,  1104191,  1100084,  1605208,   800125,   800310,   996521,   816812,  1184518,  1200169,   996558,  1000221,  1600065,   819846,
446|VPINSRB x<-gpr32           |   700114,   900062,  1000036,  1100121,  1000036,  1500128,  1033521,  1072001,  1143855,  1000221,  1600213,  1607613,  1526028,  1383504,   950049,  1200132,
447|VPINSRW x<-gpr32           |   704221,   900062,  1000073,  1100047,  1000036,  1411513,  1033484,  1022051,  1158174,  1000221,  1600213,  1600361,  1537054,  1386390,  1000184,  1300143,
448|VPINSRD x<-gpr32           |   700077,   900025,  1000110,  1104117,  1005216,  1400191,  1039996,  1021940,  1143929,  1000147,  1607132,  1600287,  1573351,  1380174,   900173,  1200169,
449|VPINSRQ x<-gpr64           |   700114,   900099,  1004439,  1100047,  1000110,  1506529,  1033447,  1066155,  1143929,  1006659,  1606984,  1606244,  1540976,  1360490,   912309,  1200206,
450|VCVTSS2SI gpr32<-x         |  1000110,  1200095,  1200095,  1400080,  1200132,  1600139,   800125,   800347,   800236,   950160,  1191585,   936988,  1200095,  1093202,  1604431,   825396,
451|VCVTSS2SI gpr64<-x         |  1000073,  1204498,  1200095,  1400080,  1200058,  1600102,   800088,   800310,   800125,   955229,  1191622,   937025,  1200132,  1094349,  1600139,   900210,
452|VCVTSD2SI gpr32<-x         |  1000110,  1200058,  1200058,  1400043,  1200058,  1600176,   800125,   800310,   806304,   950123,  1191585,   937025,  1200280,  1093942,  1600139,   826173,
453|VCVTSD2SI gpr64<-x         |  1000036,  1200058,  1200058,  1400080,  1200095,  1600139,   800125,   800273,   800199,   950123,  1232248,   948347,  1200095,  1094645,  1604616,   800162,
454|VCVTSI2SS x<-gpr32         |  1000036,  1300106,  1200095,  1300106,  1400080,  1400154,   900136,   906759,  1000221,  1397897,  1606133,  1585968,  1818254,  1380137,   913567,  1206533,
455|VCVTSI2SS x<-gpr64         |  1000036,  1300069,  1200058,  1300106,  1400080,  1400117,   900136,   900358,  1000110,  1393827,  1600139,  1611350,  1806451,  1362155,   941021,  1300143,
456|VCVTSI2SD x<-gpr32         |  1000110,  1304250,  1200132,  1300069,  1400080,  1400191,   900136,   900395,  1006400,  1389128,  1600176,  1601619,  1789283,  1387648,   928811,  1200206,
457|VCVTSI2SD x<-gpr64         |  1000147,  1300106,  1200132,  1300069,  1404409,  1400117,   900136,   900247,  1000110,  1389017,  1600102,  1601545,  1784843,  1407110,  1090538,  1200206,
458|VEXTRACTPS gpr32<-x i      |   700151,   900025,  1100047,  1100121,  1100084,  1600176,   800125,   800310,   996484,   810152,  1199096,  1200132,   996558,  1000702,  1600102,   800162,
459|VPMOVMSKB gpr32<-x         |   600103,   800088,  1000147,  1000110,  1000073,  1600065,   800088,   800273,   805971,   800088,   900099,   800162,   800125,   806378,  1604246,   800162,
460|VPMOVMSKB gpr64<-x         |   600066,   800088,  1000036,  1000073,  1000110,  1600102,   805231,   800273,   800088,   800088,   900136,   800125,   800199,   800162,  1604468,   800162,
461|VPMOVMSKB gpr32<-y         |   800088,  1000184,  1200058,  1200095,  1200095,  1575090,   800088,   800310,   800125,   800088,   800162,   805416,   800125,   800125,  1604357,   800199,
462|VPMOVMSKB gpr64<-y         |   800051,  1004180,  1200095,  1204165,  1200095,  1600213,   800125,   809708,   800125,   805416,   800162,   800125,   800125,   800162,  1604653,   800162,
463|VMOVMSKPD gpr32<-x         |   600066,   800088,  1000036,  1000073,  1000110,   939023,   925111,   966995,   942982,   955377,  1038516,   966107,   950086,  1000184,  1599621,  1126095,
464|VMOVMSKPD gpr64<-x         |   600066,   800088,  1000147,  1000073,  1005105,   983016,   975764,   966958,   925185,   948236,  1050134,   970843,   951418,   966847,  1304176,  1123912,
465|VMOVMSKPD gpr32<-y         |   800125,  1000110,  1200058,  1204165,  1200095,   916897,   975061,   994708,   968771,   981610,  1150219,   975098,   968771,   975135,  1337883,  1050837,
466|VMOVMSKPD gpr64<-y         |   800051,  1000073,  1200058,  1200132,  1200132,   900136,   975061,   994782,   965848,  1026676,  1150108,   975135,   968068,   975098,  1581787,  1033447,
467|VMOVMSKPS gpr32<-x         |   600103,   800051,  1000147,  1000036,  1000147,   939060,   925111,   972286,   942982,   958374,   910052,   950160,   950086,  1005808,  1322306,  1133162,
468|VMOVMSKPS gpr64<-x         |   605690,   800088,  1000073,  1000110,  1000147,  1050097,   974284,   950345,   951899,   948273,  1050134,   958226,   942945,   966810,  1599991,  1130276,
469|VMOVMSKPS gpr32<-y         |   800125,  1000110,  1200058,  1200058,  1208716,   916823,   975172,   994782,   968771,   981610,  1150108,   975098,   968808,   975209,  1333443,  1150145,
470|VMOVMSKPS gpr64<-y         |   800088,  1000147,  1200095,  1200058,  1200095,   900099,   975135,   994708,   964627,  1018943,  1150145,   975098,   968105,   975209,  1306729,  1150145,
471|VPTEST f<-x1 x1            |   800125,  1000184,  1200095,  1200169,  1200132,  1000110,   800162,   800347,   993635,   826099,  1100195,  1205830,   999185,  1000295,  1139637,   857771,
472|VPTEST f<-y1 y1            |  1000110,  1200095,  1400117,  1404520,  1400080,  1000184,   817515,   800347,  1015650,   821844,  1122506,  1209937,  1029932,  1094719,  1402115,   800569,
473|VTESTPD f<-x1 x1           |   800088,  1004254,  1200132,  1200095,  1200095,  1000184,   800273,   800273,   998556,   825174,  1120915,  1205830,   993635,  1041550,  1179153,   900099,
474|VTESTPD f<-y1 y1           |  1000073,  1200132,  1404335,  1400154,  1400117,  1000221,   800199,   800384,  1018795,   812668,  1122506,  1209937,  1026306,  1092832,  1139711,   800162,
475|VTESTPS f<-x1 x1           |   800088,  1000073,  1200095,  1204461,  1200169,  1000147,   800125,   800310,   993709,   826062,  1100121,  1200132,  1004180,  1000221,  1177340,   850149,
476|VTESTPS f<-y1 y1           |  1000184,  1200095,  1400117,  1400154,  1400117,  1000147,   800199,   800347,  1020756,   821807,  1122543,  1209937,  1029969,  1094719,  1139748,   800680,
477|VCOMISD f<-x1 x1           |   900099,  1100084,  1100121,  1300180,  1100121,  1000110,   811262,   800273,   826543,   945387,  1120878,   942982,  1200206,  1001664,  1171753,   900136,
478|VCOMISS f<-y1 y1           |   900099,  1105042,  1100084,  1300106,  1100121,  1000147,   816109,   800273,   816775,   940873,  1126983,   926517,  1200169,  1039441,  1171790,   856439,
479|VUCOMISD f<-x1 x1          |   900062,  1100121,  1100121,  1300106,  1100195,  1006437,   800125,   809153,   826543,   971546,  1100158,   960779,  1200132,  1000813,  1284640,   857179,
480|VUCOMISS f<-y1 y1          |   900099,  1100158,  1100084,  1300143,  1100121,  1000184,   811299,   800310,   800125,   967439,  1127057,   955636,  1200132,  1001220,  1171642,   865134,
   |---------- uCode ----------|--LATENCY--IIDOMAIN--FFDOMAIN--IFDOMAIN--FIDOMAIN-----GPR-------PORT0----PORT1-----PORT01----PORT03-----PORT2----PORT12----PORT23--PORT0123----PORT45------LDs-
482|VPERMQ y<-y i              |   660265,   825470,   845302,  1038294,   825840,  1000147,  1830723,  1113404,  1375845,  1146297,  1014540,  1280163,  1022088,  1265141,  1019387,   953564,
483|VPERMPD y<-y i             |   651644,   825433,   847929,  1049949,   831464,  1006585,  1836643,  1114033,  1369777,  1145076,  1000147,  1253190,  1015946,  1268693,  1019387,   942501,
484|VPERMD y<-y1 y1            |   856365,  1050060,  1037665,  1208050,  1025122,  1000147,  1840454,  1200280,  1600139,  1533428,  1107151,  1334220,  1123986,  1303362,  1199799,   847559,
485|VPERMPS y<-y1 y1           |   843896,  1050097,  1056350,  1210566,  1050097,  1006400,  1834756,  1200317,  1600176,  1525473,  1000221,  1334257,  1046804,  1302807,  1199947,  1038442,
486|VPMOVZXBW y<-x             |   443741,   625337,   649609,   850075,   625152,  1000110,  1825728,  1073259,  1363339,  1139785,  1000184,  1200169,  1019461,  1219002,  1003255,   923113,
487|VPMOVZXBD y<-x             |   443778,   649979,   637732,   879934,   613386,  1000221,  1825580,  1068486,  1372700,  1145150,  1000147,  1240129,  1022199,  1229843,  1003218,   856439,
488|VPMOVZXBQ y<-x             |   443741,   623080,   649683,   850038,   613423,  1000110,  1825321,  1068523,  1372663,  1143522,  1100158,  1240203,  1015835,  1216819,  1003625,   812483,
489|VPMOVZXWD y<-x             |   450105,   625337,   625855,   850075,   647611,  1000221,  1825173,  1068005,  1377917,  1139748,  1000147,  1254707,  1019461,  1224885,  1003218,   850186,
490|VPMOVZXWQ y<-x             |   450068,   663928,   645687,   850075,   612276,  1000184,  1830612,  1068449,  1363413,  1139748,  1000184,  1200169,  1019424,  1209493,  1003255,   916823,
491|VPMOVZXDQ y<-x             |   431124,   637140,   616679,   806785,   610574,  1000258,  1826653,  1068449,  1372589,  1145150,  1000184,  1228770,  1014873,  1229880,  1003218,   850186,
492|VPMOVSXBW y<-x             |   434380,   648869,   649646,   862618,   612720,  1000184,  1825765,  1068486,  1363413,  1143522,  1100158,  1240203,  1015761,  1228400,  1003588,   814925,
493|VPMOVSXBD y<-x             |   445369,   660302,   625189,   850112,   637621,  1000221,  1825728,  1066784,  1372626,  1139896,  1000110,  1240166,  1019350,  1233506,  1003255,   850186,
494|VPMOVSXBQ y<-x             |   431235,   625337,   616716,   850112,   612757,  1000110,  1825321,  1068523,  1363487,  1139859,  1000147,  1200132,   972508,  1223109,  1003218,   925148,
495|VPMOVSXWD y<-x             |   443741,   637621,   616716,   835645,   626336,  1000184,  1825617,  1068523,  1372626,  1145113,  1000221,  1228659,  1014947,  1229584,  1003255,   850149,
496|VPMOVSXWQ y<-x             |   433936,   650090,   616679,   860102,   613423,  1000221,  1825432,  1068449,  1363339,  1143485,  1100195,  1240129,  1015761,  1228400,  1003588,   823768,
497|VPMOVSXDQ y<-x             |   449883,   638102,   625115,   850038,   600066,  1000147,  1825432,  1068042,  1372663,  1139822,  1000184,  1240166,  1024678,  1241831,  1003218,   850223,
498|VCVTPS2PD y<-x             |   425167,   825100,   625152,   810374,   825544,  1000110,  1605023,   845635,  1205016,  1035297,  1000221,  1048913,  1203240,  1250119,   800199,   900173,
499|VCVTPD2PS x<-y             |   650053,  1046878,   812631,  1037628,  1050060,  1006067,  1607909,   877048,  1211195,   998260,  1132311,   982128,  1212675,  1285380,   800125,   906722,
500|VCVTDQ2PD y<-x             |   425130,   825100,   612646,   810152,   839937,  1000147,  1606170,   845635,  1205238,  1034853,  1100121,  1043437,  1214858,  1239241,   800162,   800199,
501|VCVTPD2DQ x<-y             |   650127,  1025122,   812631,  1041735,  1062566,  1000184,  1607872,   801124,  1211232,   998001,  1141783,   988566,  1212712,  1291337,   800162,   900173,
502|VCVTPH2PS y<-x             |   425093,   825137,   608021,   809486,   843859,  1006289,  1605097,   845635,  1205275,  1035297,  1000110,  1043437,  1200132,  1250119,   800125,   900136,
503|VCVTPS2PH x<-y i           |   665741,  1025085,   837606,  1037554,  1050097,  1000147,  1607983,   876937,  1205793,   990009,  1148665,   991637,  1212712,  1296332,   858807,   800162,
504|VHADDPD x<-x1 x1           |   623931,   872164,   872682,   866762,  1067006,  1600102,  1605874,  1600250,  1600102,  1600102,  1881080,  1745290,  1605948,  1600102,  1600102,  1600213,
505|VHADDPD y<-y1 y1           |   623968,   872497,   872682,   866799,  1065563,  1600213,  1600213,  1606096,  1605911,  1600213,  1879378,  1755539,  1605874,  1600102,  1600139,  1600213,
506|VHADDPS x<-x1 x1           |   624005,   872608,   872867,   866836,  1065896,  1600176,  1605763,  1605504,  1600213,  1606096,  1836199,  1745290,  1605800,  1606503,  1600176,  1600102,
507|VHADDPS y<-y1 y1           |   623968,   872571,   872275,   866799,  1065822,  1600102,  1600176,  1600361,  1600176,  1606059,  1879859,  1752468,  1600102,  1606429,  1605467,  1600102,
508|VHSUBPD x<-x1 x1           |   633662,   872682,   872608,   866799,  1065526,  1600102,  1606355,  1600398,  1607169,  1600102,  1875160,  1745623,  1600102,  1600213,  1600176,  1600176,
509|VHSUBPD y<-y1 y1           |   623931,   872497,   872756,   867354,  1065526,  1600139,  1600102,  1600287,  1600102,  1600176,  1879563,  1751173,  1600176,  1600176,  1606466,  1600213,
510|VHSUBPS x<-x1 x1           |   624042,   872608,   872719,   866836,  1066303,  1600213,  1600213,  1600287,  1600139,  1600102,  1843340,  1751062,  1600139,  1600213,  1606244,  1600139,
511|VHSUBPS y<-y1 y1           |   624042,   872201,   872127,   867169,  1065674,  1606466,  1606466,  1600250,  1600139,  1600139,  1879711,  1745290,  1600176,  1600213,  1605689,  1600102,
512|VHADDW x<-x1 x1            |   200133,   478595,   668405,   673770,   667295,  1600102,  1600139,  1600324,  1606022,  1600102,  1600102,  1600176,  1600139,  1607724,  1600213,  1600139,
513|VHADDW y<-y1 y1            |   200207,   478817,   673474,   668590,   667369,  1600102,  1605948,  1600287,  1600139,  1600139,  1600176,  1600139,  1600176,  1606614,  1600213,  1600102,
514|VHADDD x<-x1 x1            |   200207,   478632,   668405,   668849,   667332,  1606540,  1605726,  1600287,  1600176,  1606170,  1700113,  1600139,  1600139,  1600213,  1605652,  1600213,
515|VHADDD y<-y1 y1            |   200133,   478595,   668331,   669182,   667073,  1606577,  1600250,  1606651,  1600102,  1600102,  1600102,  1600176,  1600213,  1600176,  1600102,  1600139,
516|VHSUBSW x<-x1 x1           |   200096,   479557,   672549,   672475,   670588,  1606503,  1605726,  1600361,  1606355,  1600139,  1607946,  1606466,  1605800,  1600139,  1600102,  1600176,
517|VHSUBSW y<-y1 y1           |   200133,   479150,   677211,   672253,   670551,  1600102,  1600139,  1606096,  1605837,  1600102,  1607021,  1600176,  1605874,  1607724,  1600176,  1600102,
518|VHSUBW x<-x1 x1            |   200133,   478632,   668738,   668590,   667443,  1600213,  1605689,  1605800,  1600176,  1600176,  1700150,  1611091,  1600102,  1600139,  1605504,  1606725,
519|VHSUBW y<-y1 y1            |   200170,   478595,   668775,   668886,   666999,  1600102,  1600139,  1611091,  1600176,  1605837,  1600250,  1606466,  1607354,  1600213,  1600139,  1606762,
520|VHSUBD x<-x1 x1            |   200133,   478595,   668220,   669108,   667406,  1600102,  1600176,  1600361,  1600139,  1600176,  1606318,  1600102,  1600139,  1607169,  1600176,  1600139,
521|VHSUBD y<-y1 y1            |   200133,   478706,   668331,   669145,   667332,  1600176,  1600176,  1606096,  1605948,  1605911,  1600139,  1600176,  1600176,  1611350,  1606244,  1600139,
522|VHSUBSW x<-x1 x1           |   200133,   479335,   672586,   677026,   670514,  1600102,  1600139,  1600361,  1600213,  1600213,  1700224,  1600213,  1605874,  1600213,  1600102,  1600139,
523|VHSUBSW y<-y1 y1           |   200170,   479335,   672475,   672549,   671069,  1606651,  1605800,  1600361,  1606133,  1605985,  1600213,  1605911,  1605726,  1600139,  1600102,  1600176,
524|VDPPD x<-x1 x1 i           |   900025,  1300069,  1100121,  1300069,  1300069,  2400153,  2400116,  2400264,  2400190,  2400116,  2400153,  2406147,  2406221,  2400190,  2400190,  2400153,
525|VDPPS x<-x1 x1 i           |  1500054,  1908127,  1700113,  1904205,  1900061,  3406072,  3206087,  3200315,  3200167,  3200167,  3400189,  3206235,  3206161,  3200167,  3200130,  3200130,
526|VDPPS y<-y1 y1 i           |  1500054,  1904945,  1700076,  1904686,  1904723,  3400226,  3200167,  3206457,  3206198,  3208344,  3406331,  3206420,  3206198,  3200130,  3206309,  3200167,
527|VPCLMULQDQ x<-x1 x1 i      |   423872,   676952,   867095,   865356,   867835,  1600139,  1600139,  1600287,  1600139,  1600102,  1600102,  1600102,  1606096,  1600213,  1600250,  1600213,
528|VPCLMULQDQ y<-y1 y1 i      |   423872,   672697,   872349,   865060,   866836,  1600176,  1600213,  1600324,  1600139,  1600139,  1606651,  1600213,  1606429,  1606688,  1605874,  1607872,
529|VMPSADBW x<-x1 x1 i        |   464461,   672845,   868020,   869278,   867169,  1606614,  1600176,  1600324,  1600139,  1600102,  1600250,  1600176,  1600213,  1600213,  1605541,  1600102,
530|VMPSADBW y<-y1 y1 i        |   468494,   672845,   868131,   869278,   867761,  1600176,  1605615,  1600287,  1600176,  1606429,  1607169,  1600139,  1600139,  1606355,  1606133,  1600102,
   |---------- SSE ----------  |--LATENCY--IIDOMAIN--FFDOMAIN--IFDOMAIN--FIDOMAIN-----GPR-------PORT0----PORT1-----PORT01----PORT03-----PORT2----PORT12----PORT23--PORT0123----PORT45------LDs-
   |-- Port01 FP (2 read op) --|--LATENCY--IIDOMAIN--FFDOMAIN--IFDOMAIN--FIDOMAIN-----GPR-------PORT0----PORT1-----PORT01----PORT03-----PORT2----PORT12----PORT23--PORT0123----PORT45------LDs-
  2|MULPD x1<-x1 x2            |   300107,   700114,   500055,   700077,   700077,  1000147,  1150330,  1200243,  1600065,  1306026,  1000110,  1281939,   810929,  1200132,   800088,   800162,
  3|MULPS x1<-x1 x2            |   300144,   700114,   500092,   700114,   700077,  1000110,  1150256,  1200243,  1600139,  1306026,  1006289,  1275168,   800236,  1256002,   800162,   800125,
  4|MULSD x1<-x1 x2            |   300107,   700077,   500129,   700040,   700114,  1000147,  1150330,  1200243,  1600102,  1305989,  1000110,  1281976,   800162,  1248750,   800162,   800125,
  5|MULSS x1<-x1 x2            |   300070,   700077,   500055,   700114,   704110,  1000147,  1150330,  1200280,  1600102,  1305989,  1000110,  1287119,   800162,  1250119,   800088,   800162,
  6|RCPPS x1<-x1 x2            |   300070,   700077,   500055,   700114,   700077,  1000147,  1150330,  1200317,  1600102,  1306026,  1006030,  1275168,   800125,  1257926,   800125,   800125,
  7|RCPSS x1<-x1 x2            |   300107,   700114,   500092,   700114,   700114,  1000147,  1150293,  1200243,  1600139,  1305989,  1000147,  1275131,   800162,  1266991,   800125,   800347,
  8|RSQRTPS x1<-x1 x2          |   304251,   700077,   500055,   700114,   704110,  1000221,  1150293,  1200317,  1604394,  1306026,  1000184,  1275131,   800162,  1250193,   800088,   822436,
  9|RSQRTSS x1<-x1 x2          |   300033,   700077,   500092,   700114,   700077,  1000110,  1150293,  1200280,  1604135,  1305989,  1006067,  1275094,   800125,  1261478,   800125,   800125,
   |---- Port01 (3 read op) ---|--LATENCY--IIDOMAIN--FFDOMAIN--IFDOMAIN--FIDOMAIN-----GPR-------PORT0----PORT1-----PORT01----PORT03-----PORT2----PORT12----PORT23--PORT0123----PORT45------LDs-
 11|PBLENDVB x1<-x1 x2 x0      |   100159,   300144,   500055,   500055,   500092,  1000258,  1150256,  1200280,  1604949,  1648091,  1000184,  1314129,   800162,  1212416,  1557108,   881414,
 12|BLENDVPD x1<-x1 x2 x0      |   100122,   500092,   300107,   500092,   500092,  1000147,  1150330,  1200280,  1600102,  1642948,  1000184,  1307654,   800199,  1234024,  1557108,   800162,
 13|BLENDVPS x1<-x1 x2 x0      |   100159,   500092,   300144,   500055,   500129,  1000147,  1150293,  1200243,  1600102,  1651051,  1000110,  1307654,   800162,  1242016,  1557145,   800162,
   |-------- Port23 FP --------|--LATENCY--IIDOMAIN--FFDOMAIN--IFDOMAIN--FIDOMAIN-----GPR-------PORT0----PORT1-----PORT01----PORT03-----PORT2----PORT12----PORT23--PORT0123----PORT45------LDs-
 15|ADDPD x1<-x1 x2            |   300107,   700077,   500092,   700077,   700151,  1000184,   800310,   800310,   800199,  1310207,  1560216,  1275205,  1610758,  1293890,   800125,   800162,
 16|ADDPS x1<-x1 x2            |   300144,   700114,   500166,   700077,   700077,  1000147,   800310,   800310,   806822,  1305989,  1554740,  1275168,  1600065,  1257445,   800162,   800458,
 17|ADDSD x1<-x1 x2            |   300033,   700077,   500055,   700077,   700114,  1000147,   800273,   815591,   800125,  1305989,  1554555,  1279423,  1604468,  1262329,   806415,   827135,
 18|ADDSS x1<-x1 x2            |   300144,   700114,   504495,   700114,   704147,  1006548,   800310,   800310,   800162,  1305989,  1554370,  1275131,  1604172,  1264623,   800088,   800125,
 19|SUBPD x1<-x1 x2            |   300107,   700077,   500129,   700077,   700114,  1000110,   800273,   800347,   800162,  1305989,  1554518,  1275094,  1600139,  1264586,   800088,   800162,
 20|SUBPS x1<-x1 x2            |   300033,   705331,   500092,   700077,   700114,  1000147,   800273,   800236,   800199,  1306063,  1554703,  1275168,  1600065,  1264845,   800088,   800125,
 21|SUBSD x1<-x1 x2            |   300144,   700077,   500092,   700077,   700077,  1000184,   800310,   800273,   800162,  1306026,  1554370,  1275094,  1600102,  1266325,   800125,   800125,
 22|SUBSS x1<-x1 x2            |   305065,   700114,   500129,   700114,   700114,  1000221,   804491,   800310,   800199,  1306026,  1554407,  1275094,  1600139,  1266362,   800162,   816405,
 23|ADDSUBPD x1<-x1 x2         |   300033,   700077,   500092,   700114,   700114,  1000221,   800273,   805231,   800125,  1306026,  1554296,  1275094,  1600065,  1250193,   800162,   800791,
 24|ADDSUBPS x1<-x1 x2         |   300144,   700077,   500092,   700114,   700114,  1000184,   800273,   800310,   800162,  1305989,  1554666,  1279349,  1600139,  1266325,   800125,   801716,
 25|ROUNDPD x<-x i             |   300070,   700077,   500092,   700077,   700114,  1000184,   800310,   800310,   800125,  1306026,  1554629,  1275094,  1600139,  1262218,   800162,   800162,
 26|ROUNDPS x<-x i             |   300107,   700077,   500129,   700114,   700077,  1000221,   800347,   800310,   800162,  1305989,  1554629,  1275094,  1604468,  1300032,   800125,   881747,
 27|ROUNDSD x<-x i             |   300033,   700114,   500092,   700077,   700114,  1000221,   800236,   800273,   806378,  1310984,  1554740,  1275131,  1600065,  1256705,   800088,   800199,
 28|ROUNDSS x<-x i             |   300107,   700077,   500092,   700077,   700077,  1006252,   800273,   800310,   800199,  1305989,  1554666,  1279386,  1600139,  1258666,   800162,   800162,
 29|CVTPS2DQ x<-x              |   300107,   700114,   500055,   700077,   700114,  1000184,   800273,   800273,   800162,  1306026,  1554407,  1275131,  1604801,  1250156,   800125,   801050,
 30|CVTPS2PD x<-x              |   300107,   700114,   500055,   700077,   700114,  1000147,   800310,   800310,   800236,  1305989,  1554370,  1275094,  1600139,  1250193,   800088,   800643,
 31|CVTPD2PS x<-x              |   300144,   700077,   504051,   700077,   700114,  1000110,   800347,   800310,   800162,  1305989,  1554296,  1280274,  1604357,  1250193,   800125,   800125,
 32|CVTPD2DQ x<-x              |   300144,   700114,   500055,   700114,   700077,  1000147,   800310,   800347,   800199,  1306026,  1554592,  1279164,  1600176,  1250193,   800162,   822436,
 33|CVTDQ2PD x<-x              |   300107,   704406,   500092,   700114,   700114,  1000110,   800310,   800310,   800162,  1305989,  1554370,  1275168,  1604875,  1270432,   800125,   800162,
 34|CVTDQ2PS x<-x              |   300144,   700114,   500092,   700114,   700114,  1000147,   800347,   800347,   800125,  1305989,  1554333,  1275094,  1604246,  1250304,   800088,   800125,
 35|CVTSS2SD x<-x              |   300070,   700077,   500092,   700114,   700114,  1000110,   800310,   800273,   800199,  1306026,  1559439,  1275131,  1600139,  1259554,   800088,   802863,
 36|CVTSD2SS x<-x              |   300144,   700114,   500092,   700151,   700077,  1000184,   800347,   800310,   800162,  1305989,  1555036,  1275131,  1605430,  1200169,   800125,   823509,
 37|MINPD x1<-x1 x2            |   100122,   500092,   300144,   504754,   500129,  1000110,   820290,   800347,   800125,  1305989,  1557515,  1255188,  1600102,  1200169,   800125,   800162,
 38|MINPS x1<-x1 x2            |   100196,   500055,   300070,   500055,   500092,  1000110,   820290,   800236,   800162,  1305989,  1557626,  1255262,  1600065,  1200169,   800162,   800125,
 39|MINSD x1<-x1 x2            |   100122,   500055,   300144,   500055,   500092,  1007288,   809967,   800273,   800125,  1306026,  1552409,  1259443,  1600065,  1200206,   800088,   800199,
 40|MINSS x1<-x1 x2            |   100159,   500055,   300144,   500092,   500055,  1000147,   820290,   800310,   800125,  1306026,  1552446,  1255151,  1604468,  1205386,   800162,   800125,
 41|MAXPD x1<-x1 x2            |   100196,   500055,   300070,   500092,   500092,  1000110,   815591,   800310,   800199,  1305989,  1552335,  1255336,  1605134,  1200206,   800088,   800162,
 42|MAXPS x1<-x1 x2            |   100159,   500092,   300107,   500055,   500055,  1000221,   820253,   805860,   800125,  1305989,  1552446,  1255299,  1604172,  1200169,   800125,   800162,
 43|MAXSD x1<-x1 x2            |   100233,   500092,   300033,   500055,   500092,  1000147,   811891,   800273,   800162,  1306026,  1552335,  1255225,  1604172,  1200169,   800162,   800421,
 44|MAXSS x1<-x1 x2            |   100196,   500055,   300144,   500092,   500092,  1000221,   820253,   800273,   800199,  1305989,  1552446,  1255225,  1600028,  1200132,   800125,   824360,
 45|CMPEQPD x1<-x1 x2          |   100159,   500092,   300144,   500055,   500055,  1006955,   800273,   800236,   800162,  1305989,  1552372,  1255262,  1604949,  1200206,   800162,   800236,
 46|CMPEQPS x1<-x1 x2          |   100122,   500129,   300107,   500092,   504162,  1000184,   820327,   800273,   800199,  1306026,  1552446,  1255262,  1600102,  1200169,   800162,   800606,
 47|CMPEQSD x1<-x1 x2          |   100233,   500092,   300070,   504458,   500092,  1000147,   800236,   800310,   800125,  1306026,  1552483,  1250156,  1600065,  1210085,   800088,   800162,
 48|CMPEQSS x1<-x1 x2          |   100159,   504162,   300107,   500092,   504273,  1000147,   820290,   800273,   812853,  1306026,  1552372,  1255225,  1600102,  1200169,   800125,   800236,
   |-------- Port0123 FP ------|--LATENCY--IIDOMAIN--FFDOMAIN--IFDOMAIN--FIDOMAIN-----GPR-------PORT0----PORT1-----PORT01----PORT03-----PORT2----PORT12----PORT23--PORT0123----PORT45------LDs-
 50|ANDPD x1<-x1 x2            |   100159,   504162,   300033,   500055,   500055,  1256076,  1100306,  1050652,  1200280,  1255188,  1491914,  1200169,  1221851,  1600213,   800162,  1100195,
 51|ANDPS x1<-x1 x2            |   100196,   500055,   304510,   500129,   500092,  1250193,  1098530,  1050319,  1225181,  1243570,  1491877,  1214044,  1200169,  1605578,   800162,  1033521,
 52|ANDNPD x1<-x1 x2           |   105413,   500129,   300144,   500092,   500092,  1250119,  1229658,  1149886,  1250119,  1367964,  1684573,  1254522,  1272393,  1600213,   800125,  1100158,
 53|ANDNPS x1<-x1 x2           |   100159,   500055,   300144,   500129,   500092,  1250156,  1227475,  1149960,  1250119,  1367631,  1692121,  1220223,  1264882,  1600176,   800125,  1042586,
 54|ORPD x1<-x1 x2             |   100159,   500129,   305731,   500055,   500055,  1250119,  1100269,  1053205,  1200280,  1240758,  1491988,  1200169,  1236318,  1600176,   800236,  1106263,
 55|ORPS x1<-x1 x2             |   100196,   500055,   300144,   504162,   500092,  1250193,  1124134,  1053168,  1223812,  1248565,  1491914,  1213970,  1200169,  1605319,   800236,  1033558,
 56|XORPD x1<-x1 x2            |   100196,   500055,   300144,   500055,   500092,  1250193,  1232544,  1149812,  1250193,  1362969,  1684277,  1254559,  1275168,  1600213,   800125,  1103303,
 57|XORPS x1<-x1 x2            |   100159,   500055,   300070,   500055,   500055,  1250119,  1227438,  1149886,  1250119,  1366669,  1684166,  1220149,  1264845,  1600102,   800162,  1033521,
 58|BLENDPD x1<-x1 x2          |   100159,   500129,   300144,   500092,   500055,  1250193,  1099085,  1053168,  1200243,  1297220,  1486660,  1200169,  1228363,  1605282,   800125,  1100195,
