Zen2 measurement skipped.
   |-- Port01 FP (2 read op) --|--LATENCY--IIDOMAIN--FFDOMAIN--IFDOMAIN--FIDOMAIN-----GPR-------PORT0----PORT1-----PORT01----PORT03-----PORT2----PORT12----PORT23--PORT0123----PORT45------LDs-
 89|VCVTPD2DQ x<-x             |   300144,   700077,   504162,   700114,   700077,  1000110,   800199,   800310,   800125,  1310577,  1554370,  1275131,  1604505,  1264586,   800125,   800569,
 90|VCVTDQ2PS x<-x             |   300107,   700077,   500055,   705479,   700151,  1000184,   800125,   800273,   800199,  1306063,  1554481,  1275094,  1600065,  1265622,   800125,   823990,
 91|VCVTDQ2PS y<-y             |   304473,   700077,   500092,   700077,   700114,  1000184,   800199,   800347,   800199,  1305989,  1554444,  1275094,  1605060,  1200132,   800162,   814000,
 92|VCVTDQ2PD x<-x             |   300107,   700077,   500055,   700114,   704295,  1000184,   804787,   800310,   800236,  1306026,  1554333,  1275057,  1600176,  1265770,   800162,   824582,
 93|VCVTPS2PH x<-x i           |   304251,   700077,   500055,   700114,   700077,  1000110,   800162,   800273,   800162,  1306026,  1554370,  1275131,  1600065,  1258370,   800162,   800273,
 94|VCVTPH2PS x<-x             |   300107,   700114,   500055,   700077,   700114,  1000184,   800125,   800310,   800125,  1305989,  1559439,  1275094,  1600139,  1264586,   805971,   828097,
 95|VCVTSS2SD x<-x1 x1         |   300144,   700114,   500055,   700077,   700077,  1000147,   800162,   800273,   800125,  1305989,  1554555,  1275094,  1600102,  1250156,   800125,   829096,
 96|VCVTSD2SS x<-x1 x1         |   304658,   700040,   500055,   700077,   700077,  1000110,   800199,   800310,   800125,  1305989,  1554814,  1275094,  1600065,  1265659,   800162,   826321,
 97|VMINPD x<-x1 x1            |   100196,   500055,   300107,   500055,   505050,  1000110,   800088,   800273,   805749,  1305989,  1552446,  1255151,  1600065,  1200132,   800162,   800606,
 98|VMINPD y<-y1 y1            |   100196,   500129,   300144,   500055,   500092,  1000147,   800162,   800347,   800125,  1305989,  1561733,  1255262,  1604727,  1227919,   800125,   807303,
 99|VMINPS x<-x1 x1            |   100159,   500055,   300107,   500092,   500129,  1000147,   800125,   800236,   800199,  1306026,  1552335,  1255151,  1604727,  1228178,   800125,   800199,
100|VMINPS y<-y1 y1            |   100159,   500055,   300144,   500055,   500092,  1008065,   800162,   800310,   805675,  1306026,  1557996,  1255151,  1604542,  1233469,   800162,   806119,
101|VMINSD x<-x1 x1            |   100122,   500055,   300144,   500129,   500055,  1000221,   800125,   800310,   800125,  1310392,  1552446,  1255262,  1600102,  1200132,   800125,   838827,
102|VMINSS x<-x1 x1            |   100159,   500092,   300144,   500092,   500092,  1000110,   800125,   800310,   805712,  1305989,  1557515,  1259887,  1600102,  1217189,   800162,   806489,
103|VMAXPD x<-x1 x1            |   100159,   500055,   300107,   500092,   500055,  1000110,   800162,   800310,   800199,  1305989,  1552483,  1255151,  1604764,  1200132,   800162,   800162,
104|VMAXPD y<-y1 y1            |   100122,   500092,   300070,   500055,   500092,  1000147,   800162,   800347,   800125,  1306026,  1552372,  1255262,  1605504,  1228178,   800125,   800754,
105|VMAXPS x<-x1 x1            |   100159,   500092,   300107,   500166,   500055,  1000221,   800162,   800310,   800162,  1311539,  1552446,  1259739,  1600102,  1200206,   800162,   824915,
106|VMAXPS y<-y1 y1            |   100159,   504939,   300107,   500055,   500055,  1006622,   800088,   800273,   800162,  1306063,  1561881,  1255225,  1600102,  1215746,   800162,   807451,
107|VMAXSD x<-x1 x1            |   100196,   500055,   300070,   500055,   500129,  1000147,   800162,   800310,   800125,  1305989,  1552483,  1255262,  1600102,  1200169,   800125,   800458,
108|VMAXSS x<-x1 x1            |   100122,   500055,   300107,   500055,   500129,  1006141,   800162,   800347,   800125,  1309615,  1552372,  1255151,  1600102,  1200206,   800162,   800643,
109|VCMPEQPD x<-x1 x1          |   100122,   500055,   300107,   500055,   500092,  1000221,   800088,   800273,   800125,  1306026,  1552483,  1255336,  1600139,  1200169,   800125,   800125,
110|VCMPEQPD y<-y1 y1          |   100122,   500055,   300033,   500055,   500129,  1000110,   800125,   800310,   800162,  1311465,  1557922,  1259776,  1600176,  1200169,   800162,   813408,
111|VCMPEQPS x<-x1 x1          |   100159,   500129,   300107,   500055,   500055,  1000221,   800125,   800347,   800162,  1311206,  1552261,  1255299,  1600139,  1200132,   800125,   820401,
112|VCMPEQPS y<-y1 y1          |   100159,   500092,   300107,   500129,   500129,  1000221,   800125,   800273,   800125,  1311095,  1558477,  1255262,  1605911,  1200169,   800125,   822066,
113|VCMPEQSD x<-x1 x1          |   100196,   500055,   300070,   500092,   500055,  1006178,   800088,   800273,   806008,  1305989,  1552446,  1255299,  1600102,  1200169,   800125,   807377,
114|VCMPEQPS x<-x1 x1          |   100159,   500055,   300144,   500129,   500055,  1006252,   800162,   800273,   800162,  1306026,  1552446,  1255336,  1604542,  1200169,   800162,   818662,
   |-------- Port0123 FP ------|--LATENCY--IIDOMAIN--FFDOMAIN--IFDOMAIN--FIDOMAIN-----GPR-------PORT0----PORT1-----PORT01----PORT03-----PORT2----PORT12----PORT23--PORT0123----PORT45------LDs-
116|VANDPD x<-x1 x1            |   100159,   504199,   300070,   500055,   500129,  1250156,  1057312,  1053205,  1225181,  1243607,  1428755,  1213970,  1200169,  1605615,   806119,  1033521,
117|VANDPD y<-y1 y1            |   100159,   504680,   300144,   500092,   500055,  1256446,  1051947,  1050245,  1200243,  1243533,  1486771,  1200132,  1200206,  1605726,   800162,  1040773,
118|VANDPS x<-x1 x1            |   100122,   500055,   300144,   500055,   500055,  1300143,  1051466,  1053168,  1228437,  1275131,  1491914,  1200169,  1228474,  1605726,   800162,  1100195,
119|VANDPS y<-y1 y1            |   100196,   500092,   300070,   500055,   500092,  1300180,  1051540,  1053871,  1200243,  1245198,  1482849,  1200132,  1225144,  1605504,   800199,  1056461,
120|VANDNPD x<-x1 x2           |   100159,   500055,   300033,   500129,   500055,  1250156,  1155584,  1192510,  1266806,  1375364,  1710325,  1250193,  1300143,  1600213,   800199,  1033558,
121|VANDNPD y<-y1 y2           |   100196,   500055,   300070,   500055,   500055,  1250119,  1161134,  1192510,  1266806,  1375290,  1717836,  1250193,  1266806,  1600102,   800125,  1033595,
122|VANDNPS x<-x1 x2           |   100159,   500092,   300107,   500129,   500055,  1300143,  1156361,  1192547,  1250156,  1375697,  1717503,  1250230,  1270321,  1600213,   800199,  1100158,
123|VANDNPS y<-y1 y2           |   100159,   500055,   300070,   500129,   500092,  1300106,  1160468,  1192547,  1257741,  1382172,  1717614,  1250230,  1295333,  1600176,   800199,  1050171,
124|VORPD x<-x1 x1             |   100196,   500055,   300144,   500092,   500129,  1250156,  1038109,  1053242,  1225144,  1243644,  1479519,  1220186,  1239611,  1600139,   806267,  1043104,
